,label_name,correct_label,total_label,accuracy
0,B-PS,8342,8584,0.9718080149114632
1,B-FD,143,198,0.7222222222222222
2,B-TR,547,731,0.7482900136798906
3,B-AF,3255,4338,0.7503457814661134
4,B-OG,19951,22316,0.8940222262054132
5,B-LC,14309,16165,0.8851840395917104
6,B-CV,13338,15317,0.8707971534895868
7,B-DT,15202,15767,0.9641656624595675
8,B-TI,0,0,0.0
9,B-TI,916,957,0.9571577847439916
10,B-QT,18788,19752,0.9511948157148643
11,B-EV,1812,2429,0.7459860024701523
12,B-AM,787,969,0.8121775025799793
13,B-PT,814,964,0.8443983402489627
14,B-MT,349,446,0.7825112107623319
15,B-TM,6954,8412,0.8266761768901569
16,I-PS,11529,11871,0.9711902956785443
17,I-FD,241,290,0.8310344827586207
18,I-TR,927,1268,0.7310725552050473
19,I-AF,5734,7554,0.7590680434207042
20,I-OG,34728,38585,0.900038875210574
21,I-LC,15119,17691,0.8546153411339099
22,I-CV,12647,14746,0.8576563135765631
23,I-DT,11157,11750,0.949531914893617
24,I-TI,0,0,0.0
25,I-TI,499,526,0.9486692015209125
26,I-QT,21619,22719,0.9515823759848585
27,I-EV,3975,5013,0.7929383602633154
28,I-AM,791,935,0.8459893048128342
29,I-PT,785,933,0.8413719185423365
30,I-MT,687,814,0.8439803439803439
31,I-TM,16031,18437,0.869501545804632
