,label_name,correct_label,total_label,accuracy
0,B-PS,8309,8584,0.9679636533084809
1,B-FD,111,198,0.5606060606060606
2,B-TR,476,731,0.6511627906976745
3,B-AF,3044,4338,0.7017058552328261
4,B-OG,19472,22316,0.8725578060584334
5,B-LC,14012,16165,0.8668110114444788
6,B-CV,12433,15317,0.8117124763334856
7,B-DT,14992,15767,0.9508467051436544
8,B-TI,904,957,0.9446185997910136
9,B-QT,18667,19752,0.9450688537869583
10,B-EV,1734,2429,0.713874022231371
11,B-AM,770,969,0.7946336429308566
12,B-PT,756,964,0.7842323651452282
13,B-MT,326,446,0.7309417040358744
14,B-TM,6614,8412,0.7862577270565858
15,I-PS,11654,11871,0.9817201583691348
16,I-FD,232,290,0.8
17,I-TR,876,1268,0.6908517350157729
18,I-AF,5546,7554,0.7341805665872385
19,I-OG,34652,38585,0.8980691978748219
20,I-LC,14944,17691,0.8447233056356339
21,I-CV,12253,14746,0.830937203309372
22,I-DT,11278,11750,0.9598297872340426
23,I-TI,494,526,0.9391634980988594
24,I-QT,21996,22719,0.9681764162155024
25,I-EV,3874,5013,0.7727907440654299
26,I-AM,779,935,0.8331550802139037
27,I-PT,718,933,0.7695605573419079
28,I-MT,708,814,0.8697788697788698
29,I-TM,15646,18437,0.8486196235830125
